id,title,tags,vote_average,vote_count,popularity,release_date,original_language,popularity_score,vote_score,collab_score,semantic_score,final_score
15559,Destiny in Space,"travel alongsid the astronaut as they deploy and repair the hubbl space telescope, soar abov venu and mars, and find proof of new planet and the possibl of other life form around distant stars. documentari nasa narrat spacetravel biolog space imax womandirector short leonardnimoy benburtt",7.0,2.0,1.578897,1994-01-17,en,0.008531309180700334,0.7,0.7056775,0.028090954,0.3657487269134521
70981,Prometheus,"a team of explor discov a clue to the origin of mankind on earth, lead them on a journey to the darkest corner of the universe. there, they must fight a terrifi battl to save the futur of the human race. sciencefict adventur mysteri android dystopia alien spinoff creation emergencysurgeri aftercreditssting stasi archeologicaldig godcomplex cavedraw geneticmut originsoflif noomirapac michaelfassbend guypearc ridleyscott",6.3,5152.0,16.624854,2012-05-30,en,0.08982965295266422,0.63,0.7056775,0.048273683,0.36184009129714967
325263,Journey to Space,"a sweep overview of humanity’ accomplish in space, as well as our ongo activ and futur plans. documentari spacetravel imax spaceshuttl 3d short internationalspacest patrickstewart christiangardn gabriellegardn markkrenzien",6.3,6.0,0.801267,2015-02-13,en,0.0043295139032452495,0.63,0.7056775,0.040595055,0.35800077731323243
19995,Avatar,"in the 22nd century, a parapleg marin is dispatch to the moon pandora on a uniqu mission, but becom torn between follow order and protect an alien civilization. action adventur fantasi sciencefict cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d samworthington zoesaldana sigourneyweav jamescameron",7.2,12114.0,185.070892,2009-12-10,en,1.0,0.72,0.7056775,0.0,0.35570324999999997
10200,The Day the Earth Stood Still,"a repres of an alien race that went through drastic evolut to surviv it own climat change, klaatu come to earth to assess whether human can prevent the environment damag they have inflict on their own planet. when bar from speak to the unit nations, he decid humankind shall be extermin so the planet can survive. drama sciencefict thriller extraterrestrialtechnolog spacecraft ultimatum evacu panic govern remak ufo alien endoftheworld giantrobot tank socialcommentari poweroutag interrog environment threat aliencontact centralpark messeng nanobot disintegr keanureev jenniferconnelli kathyb scottderrickson",5.2,1057.0,9.265322,2008-12-10,en,0.05006363723583285,0.52,0.7056775,0.07762289,0.35451469523620605
15493,Star Wreck: In the Pirkinning,"star wreck: in the pirkin begin with captain jame b. pirk of the starship kickstart shipwreck on the 21st centuri earth with hi crew. origin from the distant future, pirk and hi crew travel back in time to save the earth from hostil aliens, but lost their ship and becam stranded. pirk' daili routin consist mainli of stuf hi face at the local fast food restaurant, and he is find it difficult to convinc the ladi he is, in fact, an intergalact space hero from the future. as the prospect for humanity' conquest of space look increasingli bleaker, pirk come up with a question plan to save mankind' future... sciencefict action comedi shower russia emperor spacebattl futur wormhol spacetravel timetravel low-budget parodi spaceship space independentfilm spoof outerspac parallelworld spaceopera samulitorssonen attejoutsen timovuorensola timovuorensola",6.6,27.0,7.759197,2005-08-20,fi,0.041925539538654195,0.6599999999999999,0.7056775,0.02071011,0.3540583053321838
107104,Beyond the Rising Moon,an alien spaceship is be sought by variou faction on earth. a femal cyborg and a rogu trader team up to stop evil forc from take over the ship. thriller sciencefict tracydavi hansbachmann michaelmack philipj.cook,6.0,2.0,0.136234,1988-05-14,en,0.0007361179196132043,0.6,0.7056775,0.04214716,0.352776829788208
228161,Home,"when earth is taken over by the overly-confid boov, an alien race in search of a new place to call home, all human are promptli relocated, while all boov get busi reorgan the planet. but when one resourc girl, tip, manag to avoid capture, she find herself the accident accomplic of a banish boov name oh. the two fugit realiz there’ a lot more at stake than intergalact relat as they embark on the road trip of a lifetime. fantasi comedi anim sciencefict famili friendship spaceship space alien alieninvas alienfriendship awfullead takingrespos jimparson rihanna stevemartin timjohnson",6.8,1539.0,13.422713,2015-03-18,en,0.07252741290078184,0.6799999999999999,0.7056775,0.0075491667,0.3514778333396911
101660,V,"alien pretend to be friendli come to earth and are receiv openly. the alien have masquerad themselv to look just like humans. when it is discov that the aliens' planet is die and that they have come to rape the earth of it natur resources, the war for earth begins. drama sciencefict action adventur resist spacecraft cover-up extraterrestri mothership reptilian marcsing fayegr janebadl kennethjohnson",6.9,32.0,3.330159,1983-05-01,en,0.0179939641723886,0.6900000000000001,0.7056775,0.0005031824,0.34995484120559694
354282,Science Fiction Volume One: The Osiris Child,"set in the futur in a time of interplanetari colonization, an unlik pair race against an impend global crisi and are confront by the monster that live insid us all. sciencefict space colonis creatur kellanlutz danielmacpherson isabelluca shaneabbess",5.4,55.0,13.454531,2017-08-31,en,0.07269933620895933,0.54,0.7056775,0.055149794,0.34727814681243896
174772,Europa Report,a crew of intern astronaut are sent on a privat mission to jupiter' fourth moon. sciencefict thriller jupit spacecraft extraterrestriallifeform foundfootag spaceadventur europa sharltocopley danielwu michaelnyqvist sebastiáncordero,6.2,549.0,6.964263,2013-06-27,en,0.03763024495499811,0.62,0.7056775,0.01862657,0.34501653535079957
2160,Voyage to the Bottom of the Sea,the crew of an atom submarin battl to save the world from global destruction. adventur drama sciencefict mutini climatechang iceberg nuclearmissil heat raceagainsttim torpedo physicist betray laboratori armageddon electrocut explos unitedn sabotag diver religiousfanat brawl moraldilemma desert minisubmarin abandonedship giantsquid disobeyingord minefield nuclearsubmarin meteorshow skyonfir vanallenradiationbelt walterpidgeon joanfontain barbaraeden irwinallen,5.4,35.0,3.013584,1961-07-12,en,0.016283403443043867,0.54,0.7433167556079083,0.026171625,0.3440808390126185
11954,Lifeforce,a space shuttl mission investig halley' comet bring back a malevol race of space vampir who transform most of london' popul into zombies. the onli survivor of the expedit and british author attempt to captur a mysteri but beauti alien woman who appear responsible. fantasi horror sciencefict thriller spacemarin vampir flyingsauc comet alien halley'scomet steverailsback peterfirth frankfinlay tobehoop,6.2,136.0,13.561368,1985-06-20,en,0.07327661229406081,0.62,0.7056775,0.016706824,0.3440566621513367
37910,Voices of a Distant Star,voic of a distant star chronicl a long-dist relationship between two close friend who commun by send email via their mobil phone across interstellar space. anim sciencefict drama love basedonmanga textmessag longdistancerelationship truelov mikashinohara makotoshinkai sumimutoh makotoshinkai,6.5,62.0,3.85131,2002-02-02,ja,0.020809917531493825,0.65,0.7056775,0.004092574,0.34374953705978395
9570,The Black Hole,"the explor craft u.s.s. palomino is return to earth after a fruitless 18-month search for extra-terrestri life when the crew come upon a supposedli lost ship, the magnific u.s.s. cygnus, hover near a black hole. the ship is control by dr. han reinhardt and hi monstrou robot companion, maximillian. but the initi wonder and awe the palomino crew feel for the ship and it resist to the power of the black hole turn to horror as they uncov reinhardt' plans. adventur famili sciencefict action killerrobot spacemarin ghostship blackhol maximilianschel anthonyperkin robertforst garynelson",6.1,132.0,7.499388,1979-12-18,en,0.040521704515262186,0.61,0.7056775,0.018808901,0.3431077006549835
167948,Space Milkshake,"four low-rank astronaut are stuck togeth on an orbit sanit station after they bring a mysteri devic aboard their ship and all life on earth disappears. littl do they know they are about to come under attack by a mutat rubber duck name gary, who want to open a portal to hi evil dimens and take over the universe. sciencefict comedi spaceship spaceadventur rubberduck billyboyd kristinkreuk amandatap armenevrensel",5.7,18.0,1.737986,2012-10-26,en,0.009390920318252964,0.5700000000000001,0.7056775,0.034058213,0.3427323566169739
16911,The Inhabited Island,"on the threshold of 22nd century, furrow the space, protagonist from the free search group make emerg land on an unknown planet where he must stay. peopl who are live on thi planet have remain at the stone level of the 20th century, with it social problems, miser ecolog and shaki world.. action fantasi sciencefict thriller basedonnovel brothersisterrelationship swordfight spaceship strugatski brainwash bigciti girlfriendfromchina hardtokil outerspac test test headofst vasilystepanov pyotrfyodorov юлияснигирь fyodorbondarchuk",5.4,24.0,2.047794,2008-12-18,ru,0.01106491668068472,0.54,0.7056775,0.044411063,0.34190878159713745
8413,Event Horizon,"in the year 2047 a group of astronaut are sent to investig and salvag the long lost starship ""event horizon"". the ship disappear mysteri 7 year befor on it maiden voyag and with it return come even more mysteri as the crew of the ""lewi and clark"" discov the real truth behind it disappear and someth even more terrifying. horror sciencefict mysteri spacemarin nuditi nightmar hallucin cryogen spacetravel blackhol insan delus crew alternatedimens evilspirit hellgat religion explos violenc burningman rescueteam flashback supernaturalpow trappedinspac distresssign derelictship laurencefishburn samneil kathleenquinlan paulw.s.anderson",6.4,752.0,11.335072,1997-08-15,en,0.0612471895364291,0.64,0.7056775,0.00038719177,0.3398968458862305
830,Forbidden Planet,captain adam and the crew of the starship c57d fli toward planet altair 4 in search for the bellerphon spaceship that ha been miss for twenti years. to their surpris they are alreadi be expected. a classic scienc fiction film from 1957 star lesli nielsen. adventur sciencefict action lasergun monster spacemarin lossoffath flyingsauc lostcivilis defensemechan daughter engin laboratori outerspac creatur electrocut robot electronicmusicscor sabotag subterranean invis lostrac nuclearreactor disobeyingord forcefield aliencivil walterpidgeon annefr leslienielsen fredm.wilcox,7.2,238.0,6.379966,1956-03-15,en,0.034473092613613164,0.72,0.6316952195167654,0.010549545,0.3387833384990726
831,This Island Earth,"alien have land and are hide on earth, but need earth’ scientist to help them fight an inter-planetari war. mysteri adventur sciencefict horror thriller extraterrestrialtechnolog mutant georgia flyingsauc spacetravel nobelprizelaur resettl spaceship alien outerspac scientist campi interplanetarywar jeffmorrow faithdomergu rexreason josephm.newman",5.6,49.0,3.187177,1955-06-01,en,0.017221384549224523,0.5599999999999999,0.7316978035318117,0.012737751,0.33787821656308353
11260,Meet Dave,"a crew of miniatur alien oper a spaceship that ha a human form. while tri to save their planet, the alien encount a new problem, as their ship becom smitten with an earth woman. comedi sciencefict adventur famili newyork captain starship newlov earth friendship crew carcrash space alien surviv planet duringcreditssting eddiemurphi elizabethbank gabrielleunion brianrobbin",5.1,381.0,11.542926,2008-07-08,en,0.06237029429781967,0.51,0.7056775,0.044869006,0.3361377528400421
2191,Stranded,"a team of astronaut on the first mission to mar crash onto the surface, lose contact with earth. with no other recourse, and help million of mile away, the crew is forc to make desper choic in order to stay alive. will they be abl to surviv as the minut slip away? thriller drama sciencefict mar spacemarin raumschiffabsturz matteroflifeanddeath womandirector vincentgallo mariademedeiro joaquimdealmeida maríalidón",5.8,14.0,1.440453,2001-09-23,en,0.0077832498910741735,0.58,0.6863231341839376,0.011800408,0.32779714443685243
401222,ISRA 88,when a scientist and a pilot volunt for a high profil space mission they are told their goal will be to do what no one ha ever done befor to find the end of the universe. after 13 year in space the ship crash through the end of the known univers and into the unknown...... thriller adventur sciencefict mysteri caspervandien adriennebarbeau seanmah thomaszellen,5.0,13.0,2.718862,2016-08-08,en,0.014690921790121379,0.5,0.7056775,0.032072425,0.3277394624443054
143777,The Killings at Outpost Zeta,a team of men and women investig the mysteri death of two previou expedit to a strateg import but barren world. horror sciencefict thriller monster futur spaceship creatur zmovi gordondevol jacquelineray jacksonbostwick allansandl,5.0,2.0,0.000603,1980-02-25,en,3.2582109130375838e-06,0.5,0.7056775,0.026098967,0.32475273329925536
153073,Escape from Mars,"five astronaut make the first man trip to mars, in the second decad of the 21st century. they must battl and overcom inferior comput components, corpor greed and indifference, their own person problems, as well as the surpris that the red planet ha in store for them sciencefict christineelis peterouterbridg allisonhossack neillfearnley",5.0,4.0,0.436924,1999-03-25,en,0.0023608466749055275,0.5,0.7056775,0.02498895,0.3241977246494293
82401,Can of Worms,a teen is visit by alien after he broadcast a messag into space. comedi famili sciencefict michaelshulman erikachristensen adamwyli paulschneid,5.2,6.0,0.419212,1999-04-10,en,0.002265142808086752,0.52,0.7056775,0.0037813187,0.3175939093322754
4296,Millennium,an investig seek the caus of an airlin disast discov the involv of an organis of time travel from a futur earth irrepar pollut who seek to rejuven the human race from those about to die in the past. base on a novel by john varley. mysteri drama sciencefict thriller airport timewarp futur airplan timetravel alien independentfilm disast airplanecrash crash robot scientist paradox investig basedonshortstori solesurvivor canuxploit kriskristofferson cherylladd danielj.travanti michaelanderson,5.0,45.0,2.742085,1989-08-25,en,0.01481640343528468,0.5,0.6194622914843775,0.06330037,0.31748887303033524
840,Close Encounters of the Third Kind,"after an encount with ufos, a line worker feel undeni drawn to an isol area in the wilder where someth spectacular is about to happen. sciencefict drama indiana obsess extraterrestrialtechnolog evacu blackout flyingsauc secretbas light contact beguil exchang ufo alien vision missingperson mothership escapad obsessivequest lifeturnedupsidedown richarddreyfuss françoistruffaut terigarr stevenspielberg",7.2,1122.0,10.610446,1977-11-16,en,0.05733179261923047,0.72,0.5663750064391254,0.0022066832,0.31501584351117484
8870,Red Planet,"astronaut search for solut to save a die earth by search on mars, onli to have the mission go terribl awry. thriller action sciencefict mar futur astronaut scienc catastroph valkilm carrie-annemoss benjaminbratt antonyhoffman",5.4,271.0,8.534176,2000-11-10,en,0.04611301057542858,0.54,0.630224356320382,0.02368635,0.30891048159208323
360799,Arrowhead,"an interstellar jekyl and hyde, alien arriv tell a tale of surviv set amongst the distant stars. kye is a prison of war caught between two armies, neither of whose ideolog he believ in. when offer an opportun for freedom, kye set out on one last rescu mission onli to becom strand when hi ship crash lands. kye soon realiz that the deadliest creatur on the desert moon is himself. action adventur mysteri sciencefict australia strand alien independentfilm scienc signal danmor aleisharos shaunmicallef jesseo'brien",4.6,32.0,2.922931,2016-06-09,en,0.015793574929114193,0.45999999999999996,0.7056775,0.0068674088,0.3071369543762207
360799,Arrowhead,"an interstellar jekyl and hyde, alien arriv tell a tale of surviv set amongst the distant stars. kye is a prison of war caught between two armies, neither of whose ideolog he believ in. when offer an opportun for freedom, kye set out on one last rescu mission onli to becom strand when hi ship crash lands. kye soon realiz that the deadliest creatur on the desert moon is himself. action adventur mysteri sciencefict australia strand alien independentfilm scienc signal danmor aleisharos shaunmicallef jesseo'brien",4.6,32.0,2.922931,2016-06-09,en,0.015793574929114193,0.45999999999999996,0.7056775,0.0068674088,0.3071369543762207
698,Moonraker,dure the transport of a space shuttl a boe 747 crash in the atlant ocean yet when they go to look for the destroy shuttl it is not there. jame bond investig the miss mission space shuttl and soon learn that the shuttl owner hugo drax want to kill all of mankind. action adventur thriller sciencefict venic massmurd spacemarin spacesuit marcussquar spacebattl secretbas laser utopia spacetravel boatchas astronaut britishsecretservic weightless rogermoor loischil michaellonsdal lewisgilbert,5.9,551.0,10.576273,1979-06-26,en,0.05714714445748714,0.5900000000000001,0.6075150717347689,0.0025597215,0.30153438225537027
2665,Airplane II: The Sequel,"a faulti comput caus a passeng space shuttl to head straight for the sun, and man-with-a-past, ted striker must save the day and get the shuttl back on track – again – all the while tri to patch up hi relationship with elaine. comedi moon spacemarin coffe spacetravel spoof bombplant aftercreditssting anarchiccomedi roberthay juliehagerti lloydbridg kenfinkleman",6.0,276.0,7.181664,1982-12-10,en,0.038804935354177686,0.6,0.5968566589922226,0.004236579,0.3011752871683394
443297,Moontrap: Target Earth,a long forgotten ancient spacecraft discov on earth. investig carri out by scout transport her to the moon whereupon she meet the impress machin preserv the wisdom of that long lost civilization. action sciencefict adventur naveespaci sarahbutl damondayoub charlesshaughnessi robertdyk,4.0,8.0,0.427982,2017-02-07,en,0.0023125300546992557,0.4,0.7056775,0.016421199,0.2999138494224548
37926,"Abraxas, Guardian of the Universe",an alien policeman come to earth to hunt down a renegad of hi own race. adventur sciencefict action newyork wormhol polic stripper alien canuxploit jesseventura sven-olethorsen damianle damianle,4.0,7.0,0.59923,1990-12-18,en,0.0032378403406625395,0.4,0.7056775,0.0050730705,0.2942397852630615
179105,Scavengers,"a team of space scaveng discov superior alien technolog that threaten the balanc of the known universe. hotli pursu by a rival crew of intergalact mercenaries, the revel crew must fight through the deepest reach of space to locat and protect the life-alt device. action sciencefict johnleeam roarkcritchlow brettcurtz traviszariwni",2.7,9.0,2.355288,2013-03-21,de,0.012726409726279376,0.27,0.7056775,0.020394444,0.2759004722328186
25055,Transmorphers,"about a race of alien robot that have conquer earth and forc human underground. after 400 years, a small group of human develop a plan to defeat the mechan invad in the ultim battl between man and machine. action adventur sciencefict futurist matthewwolf amyweb shaleyscott leighscott",2.2,22.0,1.874027,2007-06-26,en,0.010125995394240604,0.22000000000000003,0.7056775,0.014607668,0.2630070839614868
32148,Space Mutiny,"a pilot is the onli hope to stop the mutini of a spacecraft by it secur crew, who plot to sell the crew of the ship into slavery. romanc adventur sciencefict danc corrupt mutini rocketlaunch southafrica stupid lieuten burnedal murder spaceship sexploit independentfilm shotintheback outerspac explos battl flamethrow cultfilm psychotron rebbrown johnphilliplaw jamesryan davidwint",2.3,18.0,1.311115,1988-01-01,en,0.007084393368569273,0.22999999999999998,0.7056775,0.008875847,0.2621411734313965
78088,Earthling,"after a mysteri atmospher event, a small group of peopl wake up to realiz that their entir live have been a lie. they are in fact alien disguis as humans. now they have to make a choice. live amongst men, or tri to find a way back home. drama action thriller sciencefict spacesuit spore rebecasp petergreen williamkatt clayliford",3.3,7.0,0.9121,2011-03-14,en,0.004928381714397314,0.32999999999999996,0.6382980358828573,0.0063021183,0.26064046991555295
292133,Battle of the Stars,a spaceship investig an out-of-control planet and discov a comput that control an underground civilization. sciencefict action spaceship interplanetarywar johnrichardson yantisom waltermaestosi alfonsobrescia,0.0,0.0,0.357165,1978-02-17,en,0.0019298820908044256,0.0,0.7056775,0.017760098,0.22058329899024962
